file_path,extension,role,size_bytes,line_count,complexity,sha256,is_suspicious,git_tracked_status
lib/main.dart,.dart,Source Code (Flutter/Dart),13045,243,Medium (>200 lines),8985b105b5632fac8fdc3601ce2aacca8cca339d40170d55303beb7209c245be,No,Tracked/Audited
lib/tree.txt,.txt,Source Code (Flutter/Dart),20192,683,High (>500 lines),0a4bd942b4b050fbb024588482a1587c72c25f2f848a4c3671b24458ac06be4d,No,Tracked/Audited
linux/.gitignore,,Other Project File,19,1,Low,d7bbeac6ba86e2d94d8ccc63a1a2fbbac5ee7467f52f75c168165412d6ac3b60,No,Tracked/Audited
linux/CMakeLists.txt,.txt,Other Project File,4909,128,Low,d52cf1ba055618164b074d3c7f4a4ff2d2391e5979bc6524bb9573dd0062cbf7,No,Tracked/Audited
macos/.gitignore,,Other Project File,96,7,Low,236a523a43625a2d63af3cd0f2ce8600a3668846f8cb278c1c7c5cbfd4aa4088,No,Tracked/Audited
reports/catalog_media_http_results.csv,.csv,Audit / Execution Report,126555,249,Medium (>200 lines),0d769f84946881368954e4a259cead686e1bb3b84e431b7d24d721413281825d,No,Tracked/Audited
reports/catalog_media_merge_dry_run.csv,.csv,Audit / Execution Report,112143,134,Low,43bb9a1bfe56e0f76ea600e0a7ab6e40a03870ed710b59f8ee66f7e3cfa70251,No,Tracked/Audited
reports/catalog_media_merge_dry_run_v2.csv,.csv,Audit / Execution Report,145579,134,Low,eb79808af740ac433ef4b98662c8102e36e8321a630d218211b5f3bdeaeeff2f,No,Tracked/Audited
reports/catalog_media_merge_summary.txt,.txt,Audit / Execution Report,1197,39,Low,8ddb105856b470fda6d97cc90320a31a2bc2a0ca4b5fea3621829e30ad186024,No,Tracked/Audited
reports/catalog_media_merge_summary_v2.txt,.txt,Audit / Execution Report,2138,52,Low,5c8b8aeb7d97eeafa6cd1d5a2010f0ac9762e40a8dbec1c14f1932d3b8cbaaad,No,Tracked/Audited
scratch/all_classes_live_status.json,.json,Configuration / Rules,1559,82,Low,dc963bf87a0378a3551526e26d0fb8a6342bc1c42fe3c9e06cacaca66bbea7ff,No,Tracked/Audited
scratch/analyze_excel.py,.py,Other Project File,4465,99,Low,20012d3a6175ab06444bd26bc37fe4544e6dcb8fa1b42576a552d41965b03bb7,No,Tracked/Audited
scratch/audit_firestore_delta.py,.py,Other Project File,4032,104,Low,138eca83d40e315b4aa8333079c7f40445c925449b7381e2c9e4172fa0544e6c,No,Tracked/Audited
scratch/excel_counts.json,.json,Configuration / Rules,931,55,Low,415600ebde49f77590c314a3bc7c7a4a9014791bd2c0e0986131553c399bdc0f,No,Tracked/Audited
scratch/excel_inspection.json,.json,Configuration / Rules,9970,98,Low,f743718bf30e34ff18cd1d80e117fe433e2f8f5967705320c0e91047d80bdf40,No,Tracked/Audited
scratch/import_excel_to_back4app.cjs,.cjs,Other Project File,11317,337,Medium (>200 lines),5c502ebfa138e46ad73ca8383f475ada151b38d54445672f347848048c37ab47,No,Tracked/Audited
scratch/import_to_back4app.py,.py,Other Project File,14781,366,Medium (>200 lines),b8b3814855cd6a983ac4dc081d1645e69a7b29e69878f3971db534c7b1b11d69,No,Tracked/Audited
scratch/inspect_excel.dart,.dart,Other Project File,9862,285,Medium (>200 lines),dd33fd8dd280228de08c2aac96fceef42e9bb097e8fe2efca97ba8c2afd9e9ec,No,Tracked/Audited
scratch/inspect_xlsx.py,.py,Other Project File,3537,80,Low,b0df229b4761540d8d8cdea0b401704fb03db2bcf1edd6b9bc99316328161e7e,No,Tracked/Audited
scratch/lockdown_clp.cjs,.cjs,Other Project File,3268,116,Low,1d834c40d4f6dd435faf44ff3921cf4c1cb0d874f2a6bf6f917d9c408ab370e0,No,Tracked/Audited
scratch/merge_cloud_code.cjs,.cjs,Other Project File,3008,91,Low,085601c3e05329a104c0dcbf801272a3e1a9705ab4e782f5fd194c879ddffbe7,No,Tracked/Audited
scratch/migration_live_report.json,.json,Configuration / Rules,615,24,Low,27ba2b2a97dcd6734237864bc421ef7465f328718ca837edfd8362b8e2ba49af,No,Tracked/Audited
scratch/provision_live_schema.cjs,.cjs,Other Project File,2070,63,Low,0f3e3589343b20e8306b22ef8b006c240d4d28ed6a0789dae02fc6f6590d169d,No,Tracked/Audited
scratch/provision_live_schema.js,.js,Other Project File,2330,66,Low,d2fcec11f8be7664dc8ff28089b0949cb3a3a7c7246c0d504cc47b83918a8566,No,Tracked/Audited
scratch/seed_categories_and_verify_all.py,.py,Other Project File,7558,112,Low,fcfa582585eb962594e56a893a0d692ec227cf3f318a99871023108d5d2cbb1e,No,Tracked/Audited
scratch/setup_and_lockdown_all.cjs,.cjs,Other Project File,2942,116,Low,1421a529eda09be7e9ea8e242befe536cbae39b3e46542aadf99f0669822fbc1,No,Tracked/Audited
scratch/test_parse_rest.cjs,.cjs,Other Project File,906,29,Low,4cc8cc01732c636ddd0913fd411a5dad2a129005ea45a152ee3ec1a5cf5c1114,No,Tracked/Audited
scratch/test_query_products.py,.py,Other Project File,523,13,Low,0b7fbe9b6d38d3ca07020b6816cade094f828ceb478258e9c2a9c95431948dcf,No,Tracked/Audited
scratch/verify_clp_security.cjs,.cjs,Other Project File,3934,116,Low,ad9deb7fe7faa5edb236c46f525afe5f237891329e654f780228ae8793bae6ff,No,Tracked/Audited
scratch/verify_live_back4app_full_proof.py,.py,Other Project File,3212,81,Low,657657a6e8d43a98c44018168fc7d3b1a8e8dbc9c6b8dad2dc4e51df8bd0b886,No,Tracked/Audited
test/ai_backend_router_test.dart,.dart,Test Code,9033,257,Medium (>200 lines),51c666ca0233f00ac6f955d93dbe914c862dfb86b9b0a0585f037c2480cbb410,No,Tracked/Audited
test/catalog_dual_read_verification_test.dart,.dart,Test Code,2869,85,Low,a4d99fb38e48bf22492b33aba6538477e57aa804b3645d4edb3c207d888c5967,No,Tracked/Audited
test/catalog_excel_parser_test.dart,.dart,Test Code,3273,86,Low,8c8bb66ab382efc7ac30045601f614a916d8b29ad5ef9f5e7998381eaf993e2e,No,Tracked/Audited
test/catalog_xlsx_import_service_test.dart,.dart,Test Code,1224,36,Low,5077943fcfc09982ba168cedcd9ddef3c50801bdd46b5485bc8ac37082b11e2f,No,Tracked/Audited
test/chinese_platform_query_test.dart,.dart,Test Code,2728,58,Low,808d732535ae659d315fb282fe95cadd600149f7ffcf08fc990d12821f1be8ab,No,Tracked/Audited
test/controlled_dual_write_test.dart,.dart,Test Code,16193,478,Medium (>200 lines),82b2772782aaf8e47ece8ab8d11e29d0a25f93d3f0f72357fcb0e9268baedae7,No,Tracked/Audited
test/deterministic_router_test.dart,.dart,Test Code,4874,139,Low,189ec9a31225311bc2d72b10a516445bb143a4e2d0229b45c61c328b35ea5ce2,No,Tracked/Audited
test/firebase_prompt_wave1a_test.dart,.dart,Test Code,6085,168,Low,05a41927ab4fa5e1a8100f2069da921fc72b1bd912d512c041d019a8d1a10dee,No,Tracked/Audited
test/live_dual_read_runner_test.dart,.dart,Test Code,4283,113,Low,0b6dc5daba83b1b8d32f13246843025fad9b0993756e824616f50cf07014e50a,No,Tracked/Audited
test/manus_ai_provider_test.dart,.dart,Test Code,8579,203,Medium (>200 lines),52766dd2f1e32da4f288d0497f17244a4960a22da498b7f206e1d1a41057e75c,No,Tracked/Audited
test/media_audit.dart,.dart,Test Code,1983,62,Low,4d7a3afdb9f3b137cf12bfc6575392be6a8134037219f6ed23b473c23044f29c,No,Tracked/Audited
test/verify_llava.dart,.dart,Test Code,581,18,Low,6c0624819108540afe177809a9f21ea334d658dff78b242b8f4813c6ff49767b,No,Tracked/Audited
test/whatsapp_sync_contract_test.dart,.dart,Test Code,7379,183,Low,1fe345586f79dc78263f125d523e06d482566037fc79a00847a4176340fff6c9,No,Tracked/Audited
test/widget_test.dart,.dart,Test Code,200,8,Low,30482fd8629d94cdfbbee91d9f3985dddf4f84a47c16f425ada24ebde83ec289,No,Tracked/Audited
tools/catalog_media_http_probe.ps1,.ps1,Tool / Script,8551,244,Medium (>200 lines),fb49b91c9cad2302bc5059f1026f2a0640e1418e9064e5b976eeed27f6b53d75,No,Tracked/Audited
